"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Russian Federation","2006","All genders","Not applicable","Number","464357"
"Russian Federation","2005","All genders","Not applicable","Number","464577"
"Russian Federation","2004","All genders","Not applicable","Number","477647"
"Russian Federation","2003","All genders","Not applicable","Number","487477"
"Russian Federation","2002","All genders","Not applicable","Number","491944"
"Russian Federation","2001","All genders","Not applicable","Number","505778"
"Russian Federation","2000","All genders","Not applicable","Number","506420"
"Russian Federation","1999","All genders","Not applicable","Number","497030"
"Russian Federation","1998","All genders","Not applicable","Number","492494"
"Russian Federation","1997","All genders","Not applicable","Number","532469"
"Russian Federation","1996","All genders","Not applicable","Number","562070"
"Rwanda","2009","All genders","Not applicable","Number","123.2"
"Rwanda","2008","All genders","Not applicable","Number","103.8"
"Saint Helena","2000","All genders","Not applicable","Number","2"
"Saint Helena","1999","All genders","Not applicable","Number","4"
"Saint Helena","1998","All genders","Not applicable","Number","3"
"Senegal","2010","All genders","Not applicable","Number","4679"
"Senegal","2008","All genders","Not applicable","Number","4526.9"
"Senegal","2007","All genders","Not applicable","Number","3277"
"Senegal","2006","All genders","Not applicable","Number","3011"
"Serbia","2012","All genders","Not applicable","Number","11802"
"Serbia","2011","All genders","Not applicable","Number","11719.9"
"Serbia","2010","All genders","Not applicable","Number","10984.95"
"Serbia","2009","All genders","Not applicable","Number","10443.94"
"Serbia","2008","All genders","Not applicable","Number","9978.2"
"Serbia","2007","All genders","Not applicable","Number","8806.1"
"Seychelles","2005","All genders","Not applicable","Number","13"
"Singapore","2012","All genders","Not applicable","Number","34141"
"Singapore","2011","All genders","Not applicable","Number","33718.5"
"Singapore","2010","All genders","Not applicable","Number","32030.57"
"Singapore","2009","All genders","Not applicable","Number","30530.24"
"Singapore","2008","All genders","Not applicable","Number","27841"
"Singapore","2007","All genders","Not applicable","Number","27301.4"
"Singapore","2006","All genders","Not applicable","Number","25033.42"
"Singapore","2005","All genders","Not applicable","Number","23789.31"
"Singapore","2004","All genders","Not applicable","Number","21359.22"
"Singapore","2003","All genders","Not applicable","Number","20023.85"
"Singapore","2002","All genders","Not applicable","Number","18120.23"
"Singapore","2001","All genders","Not applicable","Number","16740.42"
"Singapore","2000","All genders","Not applicable","Number","16632.81"
"Singapore","1999","All genders","Not applicable","Number","12598.42"
"Singapore","1998","All genders","Not applicable","Number","11396.1"
"Singapore","1997","All genders","Not applicable","Number","9704.1"
"Singapore","1996","All genders","Not applicable","Number","9108"
"Slovakia","2012","All genders","Not applicable","Number","15270.9"
"Slovakia","2011","All genders","Not applicable","Number","15325.9"
"Slovakia","2010","All genders","Not applicable","Number","15182.8"
"Slovakia","2009","All genders","Not applicable","Number","13290"
"Slovakia","2008","All genders","Not applicable","Number","12587.3"
"Slovakia","2007","All genders","Not applicable","Number","12354.2"
"Slovakia","2006","All genders","Not applicable","Number","11775.9"
"Slovakia","2005","All genders","Not applicable","Number","10920.6"
"Slovakia","2004","All genders","Not applicable","Number","10717.8"
"Slovakia","2003","All genders","Not applicable","Number","9627"
"Slovakia","2002","All genders","Not applicable","Number","9181"
"Slovakia","2001","All genders","Not applicable","Number","9585"
"Slovakia","2000","All genders","Not applicable","Number","9955"
"Slovakia","1999","All genders","Not applicable","Number","9204"
"Slovakia","1998","All genders","Not applicable","Number","10145"
"Slovakia","1997","All genders","Not applicable","Number","9993"
"Slovakia","1996","All genders","Not applicable","Number","10010"
"Slovenia","2012","All genders","Not applicable","Number","9093"
"Slovenia","2011","All genders","Not applicable","Number","8774"
"Slovenia","2010","All genders","Not applicable","Number","7703"
"Slovenia","2009","All genders","Not applicable","Number","7446"
"Slovenia","2008","All genders","Not applicable","Number","7032"
"Slovenia","2007","All genders","Not applicable","Number","6250"
"Slovenia","2006","All genders","Not applicable","Number","5857"
"Slovenia","2005","All genders","Not applicable","Number","5253"
"Slovenia","2004","All genders","Not applicable","Number","4030"
"Slovenia","2003","All genders","Not applicable","Number","3775"
"Slovenia","2002","All genders","Not applicable","Number","4642"
"Slovenia","2001","All genders","Not applicable","Number","4498"
"Slovenia","2000","All genders","Not applicable","Number","4336"
"Slovenia","1999","All genders","Not applicable","Number","4427"
"Slovenia","1998","All genders","Not applicable","Number","4285"
"Slovenia","1997","All genders","Not applicable","Number","4022"
"Slovenia","1996","All genders","Not applicable","Number","4489"
"South Africa","2010","All genders","Not applicable","Number","18719.55"
"South Africa","2009","All genders","Not applicable","Number","19793.06"
"South Africa","2008","All genders","Not applicable","Number","19384.33"
"South Africa","2007","All genders","Not applicable","Number","19320.28"
"South Africa","2006","All genders","Not applicable","Number","18572.75"
"South Africa","2005","All genders","Not applicable","Number","17303.02"
"South Africa","2004","All genders","Not applicable","Number","17914.51"
"South Africa","2003","All genders","Not applicable","Number","14130.9"
"South Africa","2001","All genders","Not applicable","Number","14182"
"South Africa","1997","All genders","Not applicable","Number","8533"
"Spain","2012","All genders","Not applicable","Number","127129"
"Spain","2011","All genders","Not applicable","Number","130234.9"
"Spain","2010","All genders","Not applicable","Number","134653"
"Spain","2009","All genders","Not applicable","Number","133803.4"
"Spain","2008","All genders","Not applicable","Number","130986.3"
"Spain","2007","All genders","Not applicable","Number","122624.1"
"Spain","2006","All genders","Not applicable","Number","115798.4"
"Spain","2005","All genders","Not applicable","Number","109720.3"
"Spain","2004","All genders","Not applicable","Number","100994.4"
"Spain","2003","All genders","Not applicable","Number","92522.7"
"Spain","2002","All genders","Not applicable","Number","83317.8"
"Spain","2001","All genders","Not applicable","Number","80080.6"
"Spain","2000","All genders","Not applicable","Number","76669.7"
"Spain","1999","All genders","Not applicable","Number","61568"
"Spain","1998","All genders","Not applicable","Number","60269"
"Spain","1997","All genders","Not applicable","Number","53883"
"Spain","1996","All genders","Not applicable","Number","51633"
"Sri Lanka","2010","All genders","Not applicable","Number","2140"
"Sri Lanka","2008","All genders","Not applicable","Number","1972"
"Sri Lanka","2006","All genders","Not applicable","Number","1833"
"Sri Lanka","2004","All genders","Not applicable","Number","2679"
"Sri Lanka","2000","All genders","Not applicable","Number","2537"
"Sri Lanka","1996","All genders","Not applicable","Number","3448"
"Sweden","2012","All genders","Not applicable","Number","49280"
"Sweden","2011","All genders","Not applicable","Number","48589"
"Sweden","2010","All genders","Not applicable","Number","49312"
"Sweden","2009","All genders","Not applicable","Number","47160"
"Sweden","2008","All genders","Not applicable","Number","50220"
"Sweden","2007","All genders","Not applicable","Number","45812"
"Sweden","2006","All genders","Not applicable","Number","55729"
"Sweden","2005","All genders","Not applicable","Number","55090"
"Sweden","2004","All genders","Not applicable","Number","48784"
"Sweden","2003","All genders","Not applicable","Number","48186"
"Sweden","2001","All genders","Not applicable","Number","45995.37"
"Sweden","1999","All genders","Not applicable","Number","39920.78"
"Sweden","1997","All genders","Not applicable","Number","36878"
"Switzerland","2008","All genders","Not applicable","Number","25141.7"
"Switzerland","2004","All genders","Not applicable","Number","25400"
"Switzerland","2000","All genders","Not applicable","Number","26105"
"Switzerland","1996","All genders","Not applicable","Number","22105"
"Thailand","2009","All genders","Not applicable","Number","22000"
"Thailand","2007","All genders","Not applicable","Number","21392"
"Thailand","2005","All genders","Not applicable","Number","20506"
"Thailand","2003","All genders","Not applicable","Number","18114"
"Thailand","2001","All genders","Not applicable","Number","17710"
"Thailand","1999","All genders","Not applicable","Number","10418"
"Thailand","1997","All genders","Not applicable","Number","4409"
"Thailand","1996","All genders","Not applicable","Number","6038"
"The former Yugoslav Republic of Macedonia","2009","All genders","Not applicable","Number","893"
"The former Yugoslav Republic of Macedonia","2008","All genders","Not applicable","Number","968"
"The former Yugoslav Republic of Macedonia","2007","All genders","Not applicable","Number","1038"
"The former Yugoslav Republic of Macedonia","2006","All genders","Not applicable","Number","1062"
"The former Yugoslav Republic of Macedonia","2005","All genders","Not applicable","Number","1113"
"The former Yugoslav Republic of Macedonia","2004","All genders","Not applicable","Number","1069"
"The former Yugoslav Republic of Macedonia","2003","All genders","Not applicable","Number","1118"
"The former Yugoslav Republic of Macedonia","2002","All genders","Not applicable","Number","1164"
"The former Yugoslav Republic of Macedonia","2001","All genders","Not applicable","Number","1240"
"The former Yugoslav Republic of Macedonia","2000","All genders","Not applicable","Number","1325"
"The former Yugoslav Republic of Macedonia","1999","All genders","Not applicable","Number","1356"
"The former Yugoslav Republic of Macedonia","1998","All genders","Not applicable","Number","1375"
"The former Yugoslav Republic of Macedonia","1997","All genders","Not applicable","Number","1224"
"Togo","2010","All genders","Not applicable","Number","220.3"
"Togo","2007","All genders","Not applicable","Number","216"
"Togo","2006","All genders","Not applicable","Number","136"
"Togo","2005","All genders","Not applicable","Number","186"
"Togo","2004","All genders","Not applicable","Number","137"
"Togo","2003","All genders","Not applicable","Number","142"
"Tunisia","2008","All genders","Not applicable","Number","19086"
"Tunisia","2007","All genders","Not applicable","Number","18301"
"Tunisia","2006","All genders","Not applicable","Number","15833"
"Tunisia","2005","All genders","Not applicable","Number","14650"
"Tunisia","2004","All genders","Not applicable","Number","12950"
"Tunisia","2003","All genders","Not applicable","Number","11265"
"Tunisia","2002","All genders","Not applicable","Number","9910"
"Tunisia","2001","All genders","Not applicable","Number","8515"
"Tunisia","2000","All genders","Not applicable","Number","7516"
"Tunisia","1999","All genders","Not applicable","Number","6911"
"Tunisia","1998","All genders","Not applicable","Number","6563"
"Turkey","2011","All genders","Not applicable","Number","72108.6"
"Turkey","2010","All genders","Not applicable","Number","64340.96"
"Turkey","2009","All genders","Not applicable","Number","57758.56"
"Turkey","2008","All genders","Not applicable","Number","52810.86"
"Turkey","2007","All genders","Not applicable","Number","49667.86"
"Turkey","2006","All genders","Not applicable","Number","42663.48"
"Turkey","2005","All genders","Not applicable","Number","39138.98"
"Turkey","2004","All genders","Not applicable","Number","33876.55"
"Turkey","2003","All genders","Not applicable","Number","32660"
"Turkey","2002","All genders","Not applicable","Number","23995"
"Turkey","2001","All genders","Not applicable","Number","22702"
"Turkey","2000","All genders","Not applicable","Number","23083"
"Turkey","1999","All genders","Not applicable","Number","20065"
"Turkey","1998","All genders","Not applicable","Number","18925"
"Turkey","1997","All genders","Not applicable","Number","18908"
"Turkey","1996","All genders","Not applicable","Number","18085"
"Uganda","2010","All genders","Not applicable","Number","1262.7"
"Ukraine","2011","All genders","Not applicable","Number","57386.5"
"Ukraine","2010","All genders","Not applicable","Number","60811.5"
"Ukraine","2009","All genders","Not applicable","Number","61858.2"
"Ukraine","2008","All genders","Not applicable","Number","65927.9"
"Ukraine","2007","All genders","Not applicable","Number","67492.5"
"Ukraine","2006","All genders","Not applicable","Number","68764.3"
"United Kingdom of Great Britain and Northern Ireland","2012","All genders","Not applicable","Number","252652.1"
"United Kingdom of Great Britain and Northern Ireland","2011","All genders","Not applicable","Number","251357.56"
"United Kingdom of Great Britain and Northern Ireland","2010","All genders","Not applicable","Number","256584.96"
"United Kingdom of Great Britain and Northern Ireland","2009","All genders","Not applicable","Number","256124.11"
"United Kingdom of Great Britain and Northern Ireland","2008","All genders","Not applicable","Number","251931.7"
"United Kingdom of Great Britain and Northern Ireland","2007","All genders","Not applicable","Number","252650.8"
"United Kingdom of Great Britain and Northern Ireland","2006","All genders","Not applicable","Number","254009"
"United Kingdom of Great Britain and Northern Ireland","2005","All genders","Not applicable","Number","248599.3"
"United Kingdom of Great Britain and Northern Ireland","2004","All genders","Not applicable","Number","228969.09"
"United Kingdom of Great Britain and Northern Ireland","2003","All genders","Not applicable","Number","216689.87"
"United Kingdom of Great Britain and Northern Ireland","2002","All genders","Not applicable","Number","198162.98"
"United Kingdom of Great Britain and Northern Ireland","2001","All genders","Not applicable","Number","182143.84"
"United Kingdom of Great Britain and Northern Ireland","2000","All genders","Not applicable","Number","170554.39"
"United Kingdom of Great Britain and Northern Ireland","1999","All genders","Not applicable","Number","167573.03"
"United Kingdom of Great Britain and Northern Ireland","1998","All genders","Not applicable","Number","157662"
"United Kingdom of Great Britain and Northern Ireland","1997","All genders","Not applicable","Number","145641.2"
"United Kingdom of Great Britain and Northern Ireland","1996","All genders","Not applicable","Number","144735"
"United Republic of Tanzania","2010","All genders","Not applicable","Number","1599.6"
"United States of America","2011","All genders","Not applicable","Number","1252948.35"
"United States of America","2010","All genders","Not applicable","Number","1198279.67"
"United States of America","2009","All genders","Not applicable","Number","1250983.65"
"United States of America","2008","All genders","Not applicable","Number","1191024.18"
"United States of America","2007","All genders","Not applicable","Number","1133557.45"
"United States of America","2006","All genders","Not applicable","Number","1130181.79"
"United States of America","2005","All genders","Not applicable","Number","1101061.72"
"United States of America","2004","All genders","Not applicable","Number","1105096.65"
"United States of America","2003","All genders","Not applicable","Number","1126251.25"
"United States of America","2002","All genders","Not applicable","Number","1047242.16"
"United States of America","2001","All genders","Not applicable","Number","1013306.66"
"United States of America","2000","All genders","Not applicable","Number","983208.44"
"United States of America","1999","All genders","Not applicable","Number","963701.89"
"United States of America","1998","All genders","Not applicable","Number","936290.07"
"United States of America","1997","All genders","Not applicable","Number","879788.66"
"United States of America","1996","All genders","Not applicable","Number","841433.33"
"Uruguay","2012","All genders","Not applicable","Number","1825"
"Uruguay","2011","All genders","Not applicable","Number","1777"
"Uruguay","2010","All genders","Not applicable","Number","1853"
"Uruguay","2009","All genders","Not applicable","Number","1617"
"Uruguay","2008","All genders","Not applicable","Number","917"
"Uruguay","2002","All genders","Not applicable","Number","1242"
"Uruguay","2000","All genders","Not applicable","Number","921.71"
"Uruguay","1999","All genders","Not applicable","Number","724.13"
"Uzbekistan","2011","All genders","Not applicable","Number","15029"
"Venezuela (Bolivarian Republic of)","2012","All genders","Not applicable","Number","8686"
"Venezuela (Bolivarian Republic of)","2011","All genders","Not applicable","Number","6720"
"Venezuela (Bolivarian Republic of)","2010","All genders","Not applicable","Number","5803"
"Venezuela (Bolivarian Republic of)","2009","All genders","Not applicable","Number","5209"
"Venezuela (Bolivarian Republic of)","2008","All genders","Not applicable","Number","5261"
"Venezuela (Bolivarian Republic of)","2007","All genders","Not applicable","Number","4503"
"Venezuela (Bolivarian Republic of)","2006","All genders","Not applicable","Number","3977"
"Venezuela (Bolivarian Republic of)","2005","All genders","Not applicable","Number","3248"
"Venezuela (Bolivarian Republic of)","2004","All genders","Not applicable","Number","2749"
"Venezuela (Bolivarian Republic of)","2003","All genders","Not applicable","Number","2450"
"Venezuela (Bolivarian Republic of)","2002","All genders","Not applicable","Number","1761"
"Venezuela (Bolivarian Republic of)","2001","All genders","Not applicable","Number","1761"
"Venezuela (Bolivarian Republic of)","2000","All genders","Not applicable","Number","1495"
"Venezuela (Bolivarian Republic of)","1999","All genders","Not applicable","Number","1336"
"Venezuela (Bolivarian Republic of)","1998","All genders","Not applicable","Number","1159"
"Viet Nam","2002","All genders","Not applicable","Number","9328"
"Zambia","2008","All genders","Not applicable","Number","536"
"Zambia","1999","All genders","Not applicable","Number","536"
"Zambia","1998","All genders","Not applicable","Number","528"
"Zambia","1997","All genders","Not applicable","Number","495"
"Zambia","1996","All genders","Not applicable","Number","445"
"Zimbabwe","2012","All genders","Not applicable","Number","1305.2"

