[SU_drug_1] M,,,,,,,,,,,,
0,29.3,28.1,28.2,30.5,30.1,30.2,23.5,24,23.2,24.5,23.9,23.7
1.00E-08,28.6,27.1,27.8,,,,,,,,,
1.00E-07,30.1,27.2,27.9,31.1,30.8,32.6,32.2,31.4,27.6,26.7,24.5,
5.00E-07,34.6,35,34.2,37.6,35.6,34.7,34.4,37.4,37.3,28.4,24.5,
1.00E-06,47.7,47.9,47.9,55.7,55.9,54.1,46.1,50.5,46.3,27.9,26.1,
2.50E-06,,,,,,,76.2,75,74.1,59.6,60.6,
5.00E-06,,,,89.1,90.5,89.8,84.3,85.3,81.6,87,82.7,
1.00E-05,81.7,80.6,82.4,84.3,85.2,84.2,84.1,84.8,82.7,86.1,87,
2.00E-05,,,,85.2,86.3,87.1,,,,,,
