time	top	bot
27/06/2015 11:05	17.1	16.3
27/06/2015 12:06	172	19.8
27/06/2015 14:28	198.2	67.2
27/06/2015 15:16	309.5	77.8
27/06/2015 16:24	344.3	99
27/06/2015 18:16	394.5	132.5
27/06/2015 18:48	365.7	141.1
27/06/2015 19:20	339.6	148.5
27/06/2015 21:19	305.8	156.4
27/06/2015 22:29	288.3	162.7
28/06/2015 10:07	183.2	151.7
28/06/2015 13:45	166	143.4
28/06/2015 16:21	155	136.8
28/06/2015 21:48	140	127.5
29/06/2015 09:22	112	103.7
